Date,Meal,Calories,Fat,Protein,Carbs,Food
4/27/2022,Protein drink,160,3,30,4,Premier Protein drink
4/27/2022,Protein drink,160,3,30,4,Premier Protein drink
4/27/2022,Lunch,1165,40,63,135,Burrito at restaurant
4/27/2022,Dinner,1012,71,64,28,1/2 lb beef shortrib + 1/2 cup rice + 2 tbsp butter
4/28/2022,Protein drink,160,3,30,4,Premier Protein drink
4/28/2022,Lunch,1049,19,151,57,"540g chicken breast, boneless skinless"
4/28/2022,Protein drink,160,3,30,4,Premier Protein drink
4/28/2022,Snack,150,8,14,7,Four meatballs
4/28/2022,Dinner,567,23,35,55,Sausage rice
4/29/2022,Lunch,1049,19,151,57,"540g chicken breast, boneless skinless"
4/29/2022,Dinner,567,23,35,55,Sausage rice
4/29/2022,Protein drink,160,4.5,25,9,Muscle Milk
4/30/2022,Protein drink,160,4.5,25,9,Muscle Milk
4/30/2022,Lunch,1049,19,151,57,"540g chicken breast, boneless skinless"
